Table Names-1,plan_delivery_qty,plan_build_qty,past_due_delivery,past_due_build,MSIB_INVENTORY_ITEM_ID,quantity,feature,original_planing_dates,fiscal_month,rollover_planing_dates
,0,,0,0,12550393,,Plan Build Qty,12/22/2025,Dec25,12/22/2025
,0,,0,0,12550393,,Plan Build Qty,12/23/2025,Dec25,12/23/2025
,0,,0,0,12550393,,Plan Build Qty,12/24/2025,Dec25,12/24/2025
,0,,0,0,12550393,,Plan Build Qty,12/25/2025,Dec25,12/25/2025
,0,,0,0,12550393,,Plan Build Qty,12/26/2025,Dec25,12/26/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/22/2025,Dec25,11/24/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/23/2025,Dec25,11/24/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/24/2025,Dec25,11/24/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/25/2025,Dec25,11/25/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/26/2025,Dec25,11/26/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/27/2025,Dec25,11/27/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/28/2025,Dec25,11/28/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/29/2025,Dec25,11/29/2025
,,0,0,0,12550393,,Plan Delivery Qty,11/30/2025,Dec25,11/30/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/1/2025,Dec25,12/1/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/2/2025,Dec25,12/2/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/3/2025,Dec25,12/3/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/4/2025,Dec25,12/4/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/5/2025,Dec25,12/5/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/6/2025,Dec25,12/6/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/7/2025,Dec25,12/7/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/8/2025,Dec25,12/8/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/9/2025,Dec25,12/9/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/10/2025,Dec25,12/10/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/11/2025,Dec25,12/11/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/12/2025,Dec25,12/12/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/13/2025,Dec25,12/13/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/14/2025,Dec25,12/14/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/15/2025,Dec25,12/15/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/16/2025,Dec25,12/16/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/17/2025,Dec25,12/17/2025
,120,0,0,0,12550393,120,Plan Delivery Qty,12/18/2025,Dec25,12/18/2025
,20,0,0,0,12550393,20,Plan Delivery Qty,12/19/2025,Dec25,12/19/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/20/2025,Dec25,12/20/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/21/2025,Dec25,12/21/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/22/2025,Dec25,12/22/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/23/2025,Dec25,12/23/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/24/2025,Dec25,12/24/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/25/2025,Dec25,12/25/2025
,,0,0,0,12550393,,Plan Delivery Qty,12/26/2025,Dec25,12/26/2025
,0,,0,0,12552013,,Plan Build Qty,11/22/2025,Dec25,11/24/2025
,0,,0,0,12552013,,Plan Build Qty,11/23/2025,Dec25,11/24/2025
,0,87,0,0,12552013,87,Plan Build Qty,11/24/2025,Dec25,11/24/2025
,0,,0,0,12552013,,Plan Build Qty,11/25/2025,Dec25,11/25/2025
,0,,0,0,12552013,,Plan Build Qty,11/26/2025,Dec25,11/26/2025
,0,,0,0,12552013,,Plan Build Qty,11/27/2025,Dec25,11/27/2025
,0,,0,0,12552013,,Plan Build Qty,11/28/2025,Dec25,11/28/2025
,0,,0,0,12552013,,Plan Build Qty,11/29/2025,Dec25,11/29/2025
,0,,0,0,12552013,,Plan Build Qty,11/30/2025,Dec25,11/30/2025
,0,,0,0,12552013,,Plan Build Qty,12/1/2025,Dec25,12/1/2025
,0,,0,0,12552013,,Plan Build Qty,12/2/2025,Dec25,12/2/2025
,0,,0,0,12552013,,Plan Build Qty,12/3/2025,Dec25,12/3/2025
,0,,0,0,12552013,,Plan Build Qty,12/4/2025,Dec25,12/4/2025
,0,,0,0,12552013,,Plan Build Qty,12/5/2025,Dec25,12/5/2025
,0,,0,0,12552013,,Plan Build Qty,12/6/2025,Dec25,12/6/2025
,0,,0,0,12552013,,Plan Build Qty,12/7/2025,Dec25,12/7/2025
,0,,0,0,12552013,,Plan Build Qty,12/8/2025,Dec25,12/8/2025
,0,,0,0,12552013,,Plan Build Qty,12/9/2025,Dec25,12/9/2025
,0,,0,0,12552013,,Plan Build Qty,12/10/2025,Dec25,12/10/2025
,0,,0,0,12552013,,Plan Build Qty,12/11/2025,Dec25,12/11/2025
,0,,0,0,12552013,,Plan Build Qty,12/12/2025,Dec25,12/12/2025
,0,,0,0,12552013,,Plan Build Qty,12/13/2025,Dec25,12/13/2025
,0,,0,0,12552013,,Plan Build Qty,12/14/2025,Dec25,12/14/2025
,0,16,0,0,12552013,16,Plan Build Qty,12/15/2025,Dec25,12/15/2025
,0,16,0,0,12552013,16,Plan Build Qty,12/16/2025,Dec25,12/16/2025
,0,16,0,0,12552013,16,Plan Build Qty,12/17/2025,Dec25,12/17/2025
,0,,0,0,12552013,,Plan Build Qty,12/18/2025,Dec25,12/18/2025
,0,,0,0,12552013,,Plan Build Qty,12/19/2025,Dec25,12/19/2025
,0,,0,0,12552013,,Plan Build Qty,12/20/2025,Dec25,12/20/2025
,0,,0,0,12552013,,Plan Build Qty,12/21/2025,Dec25,12/21/2025
,0,16,0,0,12552013,16,Plan Build Qty,12/22/2025,Dec25,12/22/2025
,0,16,0,0,12552013,16,Plan Build Qty,12/23/2025,Dec25,12/23/2025
,0,,0,0,12552013,,Plan Build Qty,12/24/2025,Dec25,12/24/2025
,0,,0,0,12552013,,Plan Build Qty,12/25/2025,Dec25,12/25/2025
,0,,0,0,12552013,,Plan Build Qty,12/26/2025,Dec25,12/26/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/22/2025,Dec25,11/24/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/23/2025,Dec25,11/24/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/24/2025,Dec25,11/24/2025
,7,0,0,0,12552013,7,Plan Delivery Qty,11/25/2025,Dec25,11/25/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/26/2025,Dec25,11/26/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/27/2025,Dec25,11/27/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/28/2025,Dec25,11/28/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/29/2025,Dec25,11/29/2025
,,0,0,0,12552013,,Plan Delivery Qty,11/30/2025,Dec25,11/30/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/1/2025,Dec25,12/1/2025
,16,0,0,0,12552013,16,Plan Delivery Qty,12/2/2025,Dec25,12/2/2025
,16,0,0,0,12552013,16,Plan Delivery Qty,12/3/2025,Dec25,12/3/2025
,16,0,0,0,12552013,16,Plan Delivery Qty,12/4/2025,Dec25,12/4/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/5/2025,Dec25,12/5/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/6/2025,Dec25,12/6/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/7/2025,Dec25,12/7/2025
,16,0,0,0,12552013,16,Plan Delivery Qty,12/8/2025,Dec25,12/8/2025
,16,0,0,0,12552013,16,Plan Delivery Qty,12/9/2025,Dec25,12/9/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/10/2025,Dec25,12/10/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/11/2025,Dec25,12/11/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/12/2025,Dec25,12/12/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/13/2025,Dec25,12/13/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/14/2025,Dec25,12/14/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/15/2025,Dec25,12/15/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/16/2025,Dec25,12/16/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/17/2025,Dec25,12/17/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/18/2025,Dec25,12/18/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/19/2025,Dec25,12/19/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/20/2025,Dec25,12/20/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/21/2025,Dec25,12/21/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/22/2025,Dec25,12/22/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/23/2025,Dec25,12/23/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/24/2025,Dec25,12/24/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/25/2025,Dec25,12/25/2025
,,0,0,0,12552013,,Plan Delivery Qty,12/26/2025,Dec25,12/26/2025
,0,,0,0,12543818,,Plan Build Qty,11/22/2025,Dec25,11/24/2025
,0,,0,0,12543818,,Plan Build Qty,11/23/2025,Dec25,11/24/2025
,0,,0,0,12543818,,Plan Build Qty,11/24/2025,Dec25,11/24/2025
,0,,0,0,12543818,,Plan Build Qty,11/25/2025,Dec25,11/25/2025
,0,,0,0,12543818,,Plan Build Qty,11/26/2025,Dec25,11/26/2025
,0,,0,0,12543818,,Plan Build Qty,11/27/2025,Dec25,11/27/2025
,0,,0,0,12543818,,Plan Build Qty,11/28/2025,Dec25,11/28/2025
,0,,0,0,12543818,,Plan Build Qty,11/29/2025,Dec25,11/29/2025
,0,,0,0,12543818,,Plan Build Qty,11/30/2025,Dec25,11/30/2025
,0,,0,0,12543818,,Plan Build Qty,12/1/2025,Dec25,12/1/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/2/2025,Dec25,12/2/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/3/2025,Dec25,12/3/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/4/2025,Dec25,12/4/2025
,0,,0,0,12543818,,Plan Build Qty,12/5/2025,Dec25,12/5/2025
,0,,0,0,12543818,,Plan Build Qty,12/6/2025,Dec25,12/6/2025
,0,,0,0,12543818,,Plan Build Qty,12/7/2025,Dec25,12/7/2025
,0,,0,0,12543818,,Plan Build Qty,12/8/2025,Dec25,12/8/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/9/2025,Dec25,12/9/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/10/2025,Dec25,12/10/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/11/2025,Dec25,12/11/2025
,0,,0,0,12543818,,Plan Build Qty,12/12/2025,Dec25,12/12/2025
,0,,0,0,12543818,,Plan Build Qty,12/13/2025,Dec25,12/13/2025
,0,,0,0,12543818,,Plan Build Qty,12/14/2025,Dec25,12/14/2025
,0,,0,0,12543818,,Plan Build Qty,12/15/2025,Dec25,12/15/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/16/2025,Dec25,12/16/2025
,0,16,0,0,12543818,16,Plan Build Qty,12/17/2025,Dec25,12/17/2025
,0,,0,0,12543818,,Plan Build Qty,12/18/2025,Dec25,12/18/2025
,0,,0,0,12543818,,Plan Build Qty,12/19/2025,Dec25,12/19/2025
,0,,0,0,12543818,,Plan Build Qty,12/20/2025,Dec25,12/20/2025
,0,,0,0,12543818,,Plan Build Qty,12/21/2025,Dec25,12/21/2025
,0,,0,0,12543818,,Plan Build Qty,12/22/2025,Dec25,12/22/2025
,0,,0,0,12543818,,Plan Build Qty,12/23/2025,Dec25,12/23/2025
,0,,0,0,12543818,,Plan Build Qty,12/24/2025,Dec25,12/24/2025
,0,,0,0,12543818,,Plan Build Qty,12/25/2025,Dec25,12/25/2025
,0,,0,0,12543818,,Plan Build Qty,12/26/2025,Dec25,12/26/2025
,2,0,0,0,12543818,2,Plan Delivery Qty,11/22/2025,Dec25,11/24/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/23/2025,Dec25,11/24/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/24/2025,Dec25,11/24/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/25/2025,Dec25,11/25/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/26/2025,Dec25,11/26/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/27/2025,Dec25,11/27/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/28/2025,Dec25,11/28/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/29/2025,Dec25,11/29/2025
,,0,0,0,12543818,,Plan Delivery Qty,11/30/2025,Dec25,11/30/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/1/2025,Dec25,12/1/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/2/2025,Dec25,12/2/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/3/2025,Dec25,12/3/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/4/2025,Dec25,12/4/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/5/2025,Dec25,12/5/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/6/2025,Dec25,12/6/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/7/2025,Dec25,12/7/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/8/2025,Dec25,12/8/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/9/2025,Dec25,12/9/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/10/2025,Dec25,12/10/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/11/2025,Dec25,12/11/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/12/2025,Dec25,12/12/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/13/2025,Dec25,12/13/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/14/2025,Dec25,12/14/2025
,16,0,0,0,12543818,16,Plan Delivery Qty,12/15/2025,Dec25,12/15/2025
,16,0,0,0,12543818,16,Plan Delivery Qty,12/16/2025,Dec25,12/16/2025
,16,0,0,0,12543818,16,Plan Delivery Qty,12/17/2025,Dec25,12/17/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/18/2025,Dec25,12/18/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/19/2025,Dec25,12/19/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/20/2025,Dec25,12/20/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/21/2025,Dec25,12/21/2025
,16,0,0,0,12543818,16,Plan Delivery Qty,12/22/2025,Dec25,12/22/2025
,16,0,0,0,12543818,16,Plan Delivery Qty,12/23/2025,Dec25,12/23/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/24/2025,Dec25,12/24/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/25/2025,Dec25,12/25/2025
,,0,0,0,12543818,,Plan Delivery Qty,12/26/2025,Dec25,12/26/2025
,0,,0,0,12534356,,Plan Build Qty,11/22/2025,Dec25,11/24/2025
,0,,0,0,12534356,,Plan Build Qty,11/23/2025,Dec25,11/24/2025
,0,135,0,0,12534356,135,Plan Build Qty,11/24/2025,Dec25,11/24/2025
,0,,0,0,12534356,,Plan Build Qty,11/25/2025,Dec25,11/25/2025
,0,,0,0,12534356,,Plan Build Qty,11/26/2025,Dec25,11/26/2025
,0,,0,0,12534356,,Plan Build Qty,11/27/2025,Dec25,11/27/2025
,0,,0,0,12534356,,Plan Build Qty,11/28/2025,Dec25,11/28/2025
,0,,0,0,12534356,,Plan Build Qty,11/29/2025,Dec25,11/29/2025
,0,,0,0,12534356,,Plan Build Qty,11/30/2025,Dec25,11/30/2025
,0,,0,0,12534356,,Plan Build Qty,12/1/2025,Dec25,12/1/2025
,0,,0,0,12534356,,Plan Build Qty,12/2/2025,Dec25,12/2/2025
,0,,0,0,12534356,,Plan Build Qty,12/3/2025,Dec25,12/3/2025
,0,,0,0,12534356,,Plan Build Qty,12/4/2025,Dec25,12/4/2025
,0,,0,0,12534356,,Plan Build Qty,12/5/2025,Dec25,12/5/2025
,0,,0,0,12534356,,Plan Build Qty,12/6/2025,Dec25,12/6/2025
,0,,0,0,12534356,,Plan Build Qty,12/7/2025,Dec25,12/7/2025
,0,,0,0,12534356,,Plan Build Qty,12/8/2025,Dec25,12/8/2025
,0,,0,0,12534356,,Plan Build Qty,12/9/2025,Dec25,12/9/2025
,0,,0,0,12534356,,Plan Build Qty,12/10/2025,Dec25,12/10/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/11/2025,Dec25,12/11/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/12/2025,Dec25,12/12/2025
,0,,0,0,12534356,,Plan Build Qty,12/13/2025,Dec25,12/13/2025
,0,,0,0,12534356,,Plan Build Qty,12/14/2025,Dec25,12/14/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/15/2025,Dec25,12/15/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/16/2025,Dec25,12/16/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/17/2025,Dec25,12/17/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/18/2025,Dec25,12/18/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/19/2025,Dec25,12/19/2025
,0,,0,0,12534356,,Plan Build Qty,12/20/2025,Dec25,12/20/2025
,0,,0,0,12534356,,Plan Build Qty,12/21/2025,Dec25,12/21/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/22/2025,Dec25,12/22/2025
,0,5,0,0,12534356,5,Plan Build Qty,12/23/2025,Dec25,12/23/2025
,0,,0,0,12534356,,Plan Build Qty,12/24/2025,Dec25,12/24/2025
,0,,0,0,12534356,,Plan Build Qty,12/25/2025,Dec25,12/25/2025
,0,,0,0,12534356,,Plan Build Qty,12/26/2025,Dec25,12/26/2025
,,0,0,0,12534356,,Plan Delivery Qty,11/22/2025,Dec25,11/24/2025
,,0,0,0,12534356,,Plan Delivery Qty,11/23/2025,Dec25,11/24/2025
,3,0,0,0,12534356,3,Plan Delivery Qty,11/24/2025,Dec25,11/24/2025
,2,0,0,0,12534356,2,Plan Delivery Qty,11/25/2025,Dec25,11/25/2025
,14,0,0,0,12534356,14,Plan Delivery Qty,11/26/2025,Dec25,11/26/2025
,,0,0,0,12534356,,Plan Delivery Qty,11/27/2025,Dec25,11/27/2025
,,0,0,0,12534356,,Plan Delivery Qty,11/28/2025,Dec25,11/28/2025
,,0,0,0,12534356,,Plan Delivery Qty,11/29/2025,Dec25,11/29/2025
,,0,0,0,12534356,,Plan Delivery Qty,11/30/2025,Dec25,11/30/2025
,20,0,0,0,12534356,20,Plan Delivery Qty,12/1/2025,Dec25,12/1/2025
,20,0,0,0,12534356,20,Plan Delivery Qty,12/2/2025,Dec25,12/2/2025
,20,0,0,0,12534356,20,Plan Delivery Qty,12/3/2025,Dec25,12/3/2025
,20,0,0,0,12534356,20,Plan Delivery Qty,12/4/2025,Dec25,12/4/2025
,11,0,0,0,12534356,11,Plan Delivery Qty,12/5/2025,Dec25,12/5/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/6/2025,Dec25,12/6/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/7/2025,Dec25,12/7/2025
,37,0,0,0,12534356,37,Plan Delivery Qty,12/8/2025,Dec25,12/8/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/9/2025,Dec25,12/9/2025
,12,0,0,0,12534356,12,Plan Delivery Qty,12/10/2025,Dec25,12/10/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/11/2025,Dec25,12/11/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/12/2025,Dec25,12/12/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/13/2025,Dec25,12/13/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/14/2025,Dec25,12/14/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/15/2025,Dec25,12/15/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/16/2025,Dec25,12/16/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/17/2025,Dec25,12/17/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/18/2025,Dec25,12/18/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/19/2025,Dec25,12/19/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/20/2025,Dec25,12/20/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/21/2025,Dec25,12/21/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/22/2025,Dec25,12/22/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/23/2025,Dec25,12/23/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/24/2025,Dec25,12/24/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/25/2025,Dec25,12/25/2025
,,0,0,0,12534356,,Plan Delivery Qty,12/26/2025,Dec25,12/26/2025
,0,,0,0,12531341,,Plan Build Qty,11/22/2025,Dec25,11/24/2025
,0,,0,0,12531341,,Plan Build Qty,11/23/2025,Dec25,11/24/2025
,0,,0,0,12531341,,Plan Build Qty,11/24/2025,Dec25,11/24/2025
,0,,0,0,12531341,,Plan Build Qty,11/25/2025,Dec25,11/25/2025
,0,,0,0,12531341,,Plan Build Qty,11/26/2025,Dec25,11/26/2025
,0,,0,0,12531341,,Plan Build Qty,11/27/2025,Dec25,11/27/2025
,0,,0,0,12531341,,Plan Build Qty,11/28/2025,Dec25,11/28/2025
,0,,0,0,12531341,,Plan Build Qty,11/29/2025,Dec25,11/29/2025
,0,,0,0,12531341,,Plan Build Qty,11/30/2025,Dec25,11/30/2025
,0,,0,0,12531341,,Plan Build Qty,12/1/2025,Dec25,12/1/2025
,0,,0,0,12531341,,Plan Build Qty,12/2/2025,Dec25,12/2/2025
,0,,0,0,12531341,,Plan Build Qty,12/3/2025,Dec25,12/3/2025
,0,,0,0,12531341,,Plan Build Qty,12/4/2025,Dec25,12/4/2025
,0,,0,0,12531341,,Plan Build Qty,12/5/2025,Dec25,12/5/2025
,0,,0,0,12531341,,Plan Build Qty,12/6/2025,Dec25,12/6/2025
,0,,0,0,12531341,,Plan Build Qty,12/7/2025,Dec25,12/7/2025
,0,,0,0,12531341,,Plan Build Qty,12/8/2025,Dec25,12/8/2025
,0,,0,0,12531341,,Plan Build Qty,12/9/2025,Dec25,12/9/2025
,0,,0,0,12531341,,Plan Build Qty,12/10/2025,Dec25,12/10/2025
,0,,0,0,12531341,,Plan Build Qty,12/11/2025,Dec25,12/11/2025
,0,,0,0,12531341,,Plan Build Qty,12/12/2025,Dec25,12/12/2025
,0,,0,0,12531341,,Plan Build Qty,12/13/2025,Dec25,12/13/2025
,0,,0,0,12531341,,Plan Build Qty,12/14/2025,Dec25,12/14/2025
,0,,0,0,12531341,,Plan Build Qty,12/15/2025,Dec25,12/15/2025
,0,,0,0,12531341,,Plan Build Qty,12/16/2025,Dec25,12/16/2025
,0,,0,0,12531341,,Plan Build Qty,12/17/2025,Dec25,12/17/2025
,0,,0,0,12531341,,Plan Build Qty,12/18/2025,Dec25,12/18/2025
,0,,0,0,12531341,,Plan Build Qty,12/19/2025,Dec25,12/19/2025
,0,,0,0,12531341,,Plan Build Qty,12/20/2025,Dec25,12/20/2025
,0,,0,0,12531341,,Plan Build Qty,12/21/2025,Dec25,12/21/2025
,0,4,0,0,12531341,4,Plan Build Qty,12/22/2025,Dec25,12/22/2025
,0,5,0,0,12531341,5,Plan Build Qty,12/23/2025,Dec25,12/23/2025
,0,,0,0,12531341,,Plan Build Qty,12/24/2025,Dec25,12/24/2025
,0,,0,0,12531341,,Plan Build Qty,12/25/2025,Dec25,12/25/2025
,0,,0,0,12531341,,Plan Build Qty,12/26/2025,Dec25,12/26/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/22/2025,Dec25,11/24/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/23/2025,Dec25,11/24/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/24/2025,Dec25,11/24/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/25/2025,Dec25,11/25/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/26/2025,Dec25,11/26/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/27/2025,Dec25,11/27/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/28/2025,Dec25,11/28/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/29/2025,Dec25,11/29/2025
,,0,0,0,12531341,,Plan Delivery Qty,11/30/2025,Dec25,11/30/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/1/2025,Dec25,12/1/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/2/2025,Dec25,12/2/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/3/2025,Dec25,12/3/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/4/2025,Dec25,12/4/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/5/2025,Dec25,12/5/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/6/2025,Dec25,12/6/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/7/2025,Dec25,12/7/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/8/2025,Dec25,12/8/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/9/2025,Dec25,12/9/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/10/2025,Dec25,12/10/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/11/2025,Dec25,12/11/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/12/2025,Dec25,12/12/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/13/2025,Dec25,12/13/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/14/2025,Dec25,12/14/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/15/2025,Dec25,12/15/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/16/2025,Dec25,12/16/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/17/2025,Dec25,12/17/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/18/2025,Dec25,12/18/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/19/2025,Dec25,12/19/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/20/2025,Dec25,12/20/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/21/2025,Dec25,12/21/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/22/2025,Dec25,12/22/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/23/2025,Dec25,12/23/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/24/2025,Dec25,12/24/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/25/2025,Dec25,12/25/2025
,,0,0,0,12531341,,Plan Delivery Qty,12/26/2025,Dec25,12/26/2025
,0,,0,0,12797637,,Plan Build Qty,11/22/2025,Dec25,11/24/2025
,0,,0,0,12797637,,Plan Build Qty,11/23/2025,Dec25,11/24/2025
,0,,0,0,12797637,,Plan Build Qty,11/24/2025,Dec25,11/24/2025
,0,,0,0,12797637,,Plan Build Qty,11/25/2025,Dec25,11/25/2025
,0,16,0,0,12797637,16,Plan Build Qty,11/26/2025,Dec25,11/26/2025
,0,,0,0,12797637,,Plan Build Qty,11/27/2025,Dec25,11/27/2025
,0,,0,0,12797637,,Plan Build Qty,11/28/2025,Dec25,11/28/2025
,0,,0,0,12797637,,Plan Build Qty,11/29/2025,Dec25,11/29/2025
